"","INSECT","STAGE_START","STAGE_END","NOTES","paint","days.after.paint","quad","exposure","treatment","exp.time","date","status","alive","knockdown","dead","unviable","living","julian","day"
"1928","06H-5A-3-12","4","4","","5A",1,"3","06H-5A","06H-5A-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1929","06H-5A-4-01","5","5","","5A",1,"4","06H-5A","06H-5A-1","06H",2015-09-25,"D",0,0,1,1,0,16703,14
"1930","06H-5A-4-02","5","5","","5A",1,"4","06H-5A","06H-5A-1","06H",2015-09-25,"D",0,0,1,1,0,16703,14
"1931","06H-5A-4-03","AF","AF","","5A",1,"4","06H-5A","06H-5A-1","06H",2015-09-25,"D",0,0,1,1,0,16703,14
"1932","06H-5A-4-04","AF","AF","","5A",1,"4","06H-5A","06H-5A-1","06H",2015-09-25,"D",0,0,1,1,0,16703,14
"1933","06H-5A-4-05","5","5","","5A",1,"4","06H-5A","06H-5A-1","06H",2015-09-25,"K",0,1,0,1,1,16703,14
"1934","06H-5A-4-06","AM","AM","","5A",1,"4","06H-5A","06H-5A-1","06H",2015-09-25,"D",0,0,1,1,0,16703,14
"1935","06H-5A-4-07","AF","AF","","5A",1,"4","06H-5A","06H-5A-1","06H",2015-09-25,"D",0,0,1,1,0,16703,14
"1936","06H-5A-4-08","AM","AM","","5A",1,"4","06H-5A","06H-5A-1","06H",2015-09-25,"D",0,0,1,1,0,16703,14
"1937","06H-5A-4-09","5","5","","5A",1,"4","06H-5A","06H-5A-1","06H",2015-09-25,"K",0,1,0,1,1,16703,14
"1938","06H-5A-4-10","AM","AM","","5A",1,"4","06H-5A","06H-5A-1","06H",2015-09-25,"K",0,1,0,1,1,16703,14
"1939","06H-5A-4-11","AM","AM","","5A",1,"4","06H-5A","06H-5A-1","06H",2015-09-25,"D",0,0,1,1,0,16703,14
"1940","06H-5A-4-12","5","5","","5A",1,"4","06H-5A","06H-5A-1","06H",2015-09-25,"D",0,0,1,1,0,16703,14
"1941","06H-CO-1-01","AF","AF","3 eggs on 9/18, end with 4, 1st instar","CO",1,"1","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1942","06H-CO-1-02","5","5","","CO",1,"1","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1943","06H-CO-1-03","5","5","","CO",1,"1","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1944","06H-CO-1-04","5","5","","CO",1,"1","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1945","06H-CO-1-05","5","5","","CO",1,"1","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1946","06H-CO-1-06","AF","AF","","CO",1,"1","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1947","06H-CO-1-07","5","5","","CO",1,"1","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1948","06H-CO-1-08","AF","AF","","CO",1,"1","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1949","06H-CO-1-09","4","4","","CO",1,"1","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1950","06H-CO-1-10","5","5","","CO",1,"1","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1951","06H-CO-1-11","5","5","","CO",1,"1","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1952","06H-CO-1-12","5","5","","CO",1,"1","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1953","06H-CO-2-01","AF","AF","","CO",1,"2","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1954","06H-CO-2-02","AF","AF","","CO",1,"2","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1955","06H-CO-2-03","5","5","","CO",1,"2","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1956","06H-CO-2-04","AM","AM","","CO",1,"2","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1957","06H-CO-2-05","4","4","","CO",1,"2","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1958","06H-CO-2-06","4","4","","CO",1,"2","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1959","06H-CO-2-07","AF","AF","4 eggs on 9/18, end 5 1st instars","CO",1,"2","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1960","06H-CO-2-08","AM","AM","","CO",1,"2","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1961","06H-CO-2-09","5","5","","CO",1,"2","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1962","06H-CO-2-10","5","5","","CO",1,"2","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1963","06H-CO-2-11","5","5","","CO",1,"2","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1964","06H-CO-2-12","5","5","","CO",1,"2","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1965","06H-CO-3-01","AF","AF","","CO",1,"3","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1966","06H-CO-3-02","AF","AF","","CO",1,"3","06H-CO","06H-CO-1","06H",2015-09-25,"D",0,0,1,1,0,16703,14
"1967","06H-CO-3-03","5","5","","CO",1,"3","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1968","06H-CO-3-04","AF","AF","","CO",1,"3","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1969","06H-CO-3-05","5","5","","CO",1,"3","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1970","06H-CO-3-06","4","4","","CO",1,"3","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1971","06H-CO-3-07","AM","AM","","CO",1,"3","06H-CO","06H-CO-1","06H",2015-09-25,"D",0,0,1,1,0,16703,14
"1972","06H-CO-3-08","AF","AF","","CO",1,"3","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1973","06H-CO-3-09","4","4","","CO",1,"3","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1974","06H-CO-3-10","5","AM","Molting on 9/18","CO",1,"3","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1975","06H-CO-3-11","5","5","","CO",1,"3","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1976","06H-CO-3-12","4","4","","CO",1,"3","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1977","06H-CO-4-01","AM","AM","","CO",1,"4","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1978","06H-CO-4-02","5","5","","CO",1,"4","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1979","06H-CO-4-03","5","5","","CO",1,"4","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1980","06H-CO-4-04","5","5","","CO",1,"4","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1981","06H-CO-4-05","5","5","","CO",1,"4","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1982","06H-CO-4-06","4","4","","CO",1,"4","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1983","06H-CO-4-07","5","5","","CO",1,"4","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1984","06H-CO-4-08","5","5","","CO",1,"4","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1985","06H-CO-4-09","5","5","","CO",1,"4","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1986","06H-CO-4-10","4","4","","CO",1,"4","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1987","06H-CO-4-11","5","5","","CO",1,"4","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1988","06H-CO-4-12","AF","AF","","CO",1,"4","06H-CO","06H-CO-1","06H",2015-09-25,"A",1,0,0,0,1,16703,14
"1989","24H-CF-1-1","AF","AF","","CF",1,"1","24H-CF","24H-CF-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"1990","24H-CF-1-2","AM","AM","","CF",1,"1","24H-CF","24H-CF-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"1991","24H-CF-1-3","AF","AF","2, 1st instars","CF",1,"1","24H-CF","24H-CF-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"1992","24H-CF-1-4","5","5","","CF",1,"1","24H-CF","24H-CF-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"1993","24H-CF-1-5","4","4","","CF",1,"1","24H-CF","24H-CF-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"1994","24H-CF-1-6","5","AM","molt 9/12","CF",1,"1","24H-CF","24H-CF-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"1995","24H-CF-1-7","5","5","","CF",1,"1","24H-CF","24H-CF-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"1996","24H-CF-1-8","5","5","","CF",1,"1","24H-CF","24H-CF-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"1997","24H-CF-1-9","4","4","","CF",1,"1","24H-CF","24H-CF-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"1998","24H-CF-1-10","AM","AM","","CF",1,"1","24H-CF","24H-CF-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"1999","24H-CF-1-11","5","5","","CF",1,"1","24H-CF","24H-CF-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2000","24H-CF-1-12","4","5","10/2 observation simply doesn't make sense.","CF",1,"1","24H-CF","24H-CF-1","24H",2015-09-25,"K",0,1,0,1,1,16703,14
"2001","24H-CF-2-1","5","5","","CF",1,"2","24H-CF","24H-CF-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2002","24H-CF-2-2","AM","AM","","CF",1,"2","24H-CF","24H-CF-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2003","24H-CF-2-3","5","5","","CF",1,"2","24H-CF","24H-CF-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2004","24H-CF-2-4","AF","AF","","CF",1,"2","24H-CF","24H-CF-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2005","24H-CF-2-5","4","4","","CF",1,"2","24H-CF","24H-CF-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2006","24H-CF-2-6","AF","AF","NOTE ON 10/2 NOT CLEAR","CF",1,"2","24H-CF","24H-CF-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2007","24H-CF-2-7","4","4","","CF",1,"2","24H-CF","24H-CF-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2008","24H-CF-2-8","AF","AF","","CF",1,"2","24H-CF","24H-CF-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2009","24H-CF-2-9","4","4","","CF",1,"2","24H-CF","24H-CF-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2010","24H-CF-2-10","5","5","Died in molt","CF",1,"2","24H-CF","24H-CF-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2011","24H-CF-3-1","5","5","","CF",1,"3","24H-CF","24H-CF-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2012","24H-CF-3-2","AF","AF","5 or 6, 1st instar on 9/18","CF",1,"3","24H-CF","24H-CF-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2013","24H-CF-3-3","5","5","","CF",1,"3","24H-CF","24H-CF-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2014","24H-CF-3-4","4","4","","CF",1,"3","24H-CF","24H-CF-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2015","24H-CF-3-5","4","4","","CF",1,"3","24H-CF","24H-CF-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2016","24H-CF-3-6","5","5","","CF",1,"3","24H-CF","24H-CF-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2017","24H-CF-3-7","AM","AM","","CF",1,"3","24H-CF","24H-CF-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2018","24H-CF-3-8","5","5","","CF",1,"3","24H-CF","24H-CF-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2019","24H-CF-3-9","5","5","","CF",1,"3","24H-CF","24H-CF-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2020","24H-CF-3-10","AM","AM","","CF",1,"3","24H-CF","24H-CF-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2021","24H-CF-3-11","5","5","","CF",1,"3","24H-CF","24H-CF-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2022","24H-CF-3-12","AM","AM","","CF",1,"3","24H-CF","24H-CF-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2023","24H-CF-4-1","AF","AF","","CF",1,"4","24H-CF","24H-CF-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2024","24H-CF-4-2","5","5","","CF",1,"4","24H-CF","24H-CF-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2025","24H-CF-4-3","5","5","","CF",1,"4","24H-CF","24H-CF-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2026","24H-CF-4-4","5","5","","CF",1,"4","24H-CF","24H-CF-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2027","24H-CF-4-5","AM","AM","","CF",1,"4","24H-CF","24H-CF-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2028","24H-CF-4-6","5","5","","CF",1,"4","24H-CF","24H-CF-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2029","24H-CF-4-7","4","4","","CF",1,"4","24H-CF","24H-CF-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2030","24H-CF-4-8","5","5","","CF",1,"4","24H-CF","24H-CF-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2031","24H-CF-4-9","5","5","","CF",1,"4","24H-CF","24H-CF-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2032","24H-CF-4-10","AF","AF","","CF",1,"4","24H-CF","24H-CF-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2033","24H-CF-4-11","AM","AM","","CF",1,"4","24H-CF","24H-CF-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2034","24H-CF-4-12","5","5","","CF",1,"4","24H-CF","24H-CF-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2035","24H-5A-1-1","5","5","","5A",1,"1","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2036","24H-5A-1-2","AM","AM","","5A",1,"1","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2037","24H-5A-1-3","AM","AM","","5A",1,"1","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2038","24H-5A-1-4","5","5","","5A",1,"1","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2039","24H-5A-1-5","4","4","","5A",1,"1","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2040","24H-5A-1-6","AM","AM","","5A",1,"1","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2041","24H-5A-1-7","5","5","","5A",1,"1","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2042","24H-5A-1-8","5","5","","5A",1,"1","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2043","24H-5A-1-9","5","5","","5A",1,"1","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2044","24H-5A-1-10","5","5","","5A",1,"1","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2045","24H-5A-1-11","4","4","","5A",1,"1","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2046","24H-5A-1-12","AM","AM","","5A",1,"1","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2047","24H-5A-2-1","5","5","","5A",1,"2","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2048","24H-5A-2-2","4","4","","5A",1,"2","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2049","24H-5A-2-3","AF","AF","","5A",1,"2","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2050","24H-5A-2-4","5","5","","5A",1,"2","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2051","24H-5A-2-5","AF","AF","","5A",1,"2","24H-5A","24H-5A-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2052","24H-5A-2-6","5","5","","5A",1,"2","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2053","24H-5A-2-7","AF","AF","","5A",1,"2","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2054","24H-5A-2-8","5","5","","5A",1,"2","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2055","24H-5A-2-9","AM","AM","","5A",1,"2","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2056","24H-5A-2-10","5","5","","5A",1,"2","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2057","24H-5A-2-11","4","4","","5A",1,"2","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2058","24H-5A-2-12","5","5","","5A",1,"2","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2059","24H-5A-3-1","AM","AM","","5A",1,"3","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2060","24H-5A-3-2","5","5","","5A",1,"3","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2061","24H-5A-3-3","5","5","","5A",1,"3","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2062","24H-5A-3-4","AM","AM","","5A",1,"3","24H-5A","24H-5A-1","24H",2015-09-25,"K",0,1,0,1,1,16703,14
"2063","24H-5A-3-5","4","4","","5A",1,"3","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2064","24H-5A-3-6","4","4","","5A",1,"3","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2065","24H-5A-3-7","4","4","","5A",1,"3","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2066","24H-5A-3-8","AM","AM","","5A",1,"3","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2067","24H-5A-3-9","AF","AF","","5A",1,"3","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2068","24H-5A-3-10","5","5","","5A",1,"3","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2069","24H-5A-3-11","AF","AF","","5A",1,"3","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2070","24H-5A-3-12","5","5","","5A",1,"3","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2071","24H-5A-4-1","5","5","","5A",1,"4","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2072","24H-5A-4-2","5","5","","5A",1,"4","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2073","24H-5A-4-3","AF","AF","","5A",1,"4","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2074","24H-5A-4-4","AF","AF","","5A",1,"4","24H-5A","24H-5A-1","24H",2015-09-25,"K",0,1,0,1,1,16703,14
"2075","24H-5A-4-5","AM","AM","","5A",1,"4","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2076","24H-5A-4-6","AF","AF","","5A",1,"4","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2077","24H-5A-4-7","AM","AM","","5A",1,"4","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2078","24H-5A-4-8","5","5","","5A",1,"4","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2079","24H-5A-4-9","5","5","","5A",1,"4","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2080","24H-5A-4-10","AF","AF","","5A",1,"4","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2081","24H-5A-4-11","AF","AF","","5A",1,"4","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2082","24H-5A-4-12","AM","AM","","5A",1,"4","24H-5A","24H-5A-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2083","24H-CO-1-1","5","5","","CO",1,"1","24H-CO","24H-CO-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2084","24H-CO-1-2","AF","AF","","CO",1,"1","24H-CO","24H-CO-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2085","24H-CO-1-3","AF","AF","laid egg to1st instar 9/25","CO",1,"1","24H-CO","24H-CO-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2086","24H-CO-1-4","AM","AM","","CO",1,"1","24H-CO","24H-CO-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2087","24H-CO-1-5","5","5","","CO",1,"1","24H-CO","24H-CO-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2088","24H-CO-1-6","4","4","","CO",1,"1","24H-CO","24H-CO-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2089","24H-CO-1-7","4","4","","CO",1,"1","24H-CO","24H-CO-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2090","24H-CO-1-8","4","4","","CO",1,"1","24H-CO","24H-CO-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2091","24H-CO-1-9","4","4","","CO",1,"1","24H-CO","24H-CO-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2092","24H-CO-1-10","4","4","","CO",1,"1","24H-CO","24H-CO-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2093","24H-CO-1-11","5","5","","CO",1,"1","24H-CO","24H-CO-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2094","24H-CO-1-12","4","4","","CO",1,"1","24H-CO","24H-CO-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2095","24H-CO-2-1","AM","AM","","CO",1,"2","24H-CO","24H-CO-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2096","24H-CO-2-2","5","5","","CO",1,"2","24H-CO","24H-CO-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2097","24H-CO-2-3","5","5","","CO",1,"2","24H-CO","24H-CO-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2098","24H-CO-2-4","5","5","","CO",1,"2","24H-CO","24H-CO-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2099","24H-CO-2-5","5","5","","CO",1,"2","24H-CO","24H-CO-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2100","24H-CO-2-6","AF","AF","1, 1st instarat 9/25","CO",1,"2","24H-CO","24H-CO-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2101","24H-CO-2-7","4","4","","CO",1,"2","24H-CO","24H-CO-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2102","24H-CO-2-8","AM","AM","","CO",1,"2","24H-CO","24H-CO-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2103","24H-CO-2-9","5","5","","CO",1,"2","24H-CO","24H-CO-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2104","24H-CO-2-10","4","4","","CO",1,"2","24H-CO","24H-CO-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2105","24H-CO-2-11","4","4","","CO",1,"2","24H-CO","24H-CO-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2106","24H-CO-2-12","5","5","","CO",1,"2","24H-CO","24H-CO-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2107","24H-CO-3-1","AM","AM","","CO",1,"3","24H-CO","24H-CO-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2108","24H-CO-3-2","AF","AF","1, 1st instaron 9/18","CO",1,"3","24H-CO","24H-CO-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2109","24H-CO-3-3","5","5","","CO",1,"3","24H-CO","24H-CO-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2110","24H-CO-3-4","4","4","","CO",1,"3","24H-CO","24H-CO-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2111","24H-CO-3-5","AF","AF","6, 1st instar 9/25","CO",1,"3","24H-CO","24H-CO-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2112","24H-CO-3-6","5","5","","CO",1,"3","24H-CO","24H-CO-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2113","24H-CO-3-7","AM","AM","","CO",1,"3","24H-CO","24H-CO-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2114","24H-CO-3-8","AM","AM","","CO",1,"3","24H-CO","24H-CO-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2115","24H-CO-3-9","AF","AF","","CO",1,"3","24H-CO","24H-CO-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2116","24H-CO-3-10","5","5","","CO",1,"3","24H-CO","24H-CO-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2117","24H-CO-3-11","5","AM","molted9/12","CO",1,"3","24H-CO","24H-CO-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2118","24H-CO-3-12","5","5","","CO",1,"3","24H-CO","24H-CO-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2119","24H-CO-4-1","4","4","affected by static","CO",1,"4","24H-CO","24H-CO-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2120","24H-CO-4-2","AM","AM","","CO",1,"4","24H-CO","24H-CO-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2121","24H-CO-4-3","AF","AF","5 hatch by 9/25","CO",1,"4","24H-CO","24H-CO-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
"2122","24H-CO-4-4","5","5","","CO",1,"4","24H-CO","24H-CO-1","24H",2015-09-25,"D",0,0,1,1,0,16703,14
"2123","24H-CO-4-5","AF","AF","5, 1st instar 9/18","CO",1,"4","24H-CO","24H-CO-1","24H",2015-09-25,"A",1,0,0,0,1,16703,14
